DE MONT A CAMP; DE MONT A CAMP ;;;;;;;
DE STRASBOURG; DE STRASBOURG ;;;;;;;
DE SUEDE; DE SUEDE ;;;;;;;
DE VERDUN; DE VERDUN ;;;;;;;
DELIOT; DELIOT ;;;;;;;
DELVOYE; DELVOYE ;;;;;;;
DES BUISSES; DES BUISSES ;;;;;;;
DES OUVRIERS; DES OUVRIERS ;;;;;;;
DES PATINIERS; DES PATINIERS ;;;;;;;
DES POETES; DES POETES ;;;;;;;
DES REIGNAUX; DES REIGNAUX ;;;;;;;
DES TISSERANDS; DES TISSERANDS ;;;;;;;
DESIRE BOUCHEE; DESIRE BOUCHEE ;;;;;;;
DU CARNAVAL; DU CARNAVAL ;;;;;;;
DU CONCERT; DU CONCERT ; CONCERT ;;;;;;
DU GARD; DU GARD ;;;;;;;
DU GENERAL DE GAULLE; DU GENERAL DE GAULLE ;;;;;;;
DU LION D OR; DU LION D OR ;;;;;;;
DU MARECHAL LECLERC; DU MARECHAL LECLERC ;;;;;;;
DU MONT DE TERRE; DU MONT DE TERRE ;;;;;;;
DU PRIEURE; DU PRIEURE ;;;;;;;
DU TEMPLE; DU TEMPLE ;;;;;;;
DU THEATRE; DU THEATRE ;;;;;;;
DU VIEUX MARCHE AUX CHEVAUX; DU VIEUX MARCHE AUX CHEVAUX ;;;;;;;
EDITH CAVELL; EDITH CAVELL ;;;;;;;
EDMOND DOMPSIN; EDMOND DOMPSIN ;;;;;;;
FERNIG; FERNIG ; FERNING ;;;;;;
FRANCOIS MARCQ; FRANCOIS MARCQ ;;;;;;;
GENEVIERES; GENEVIERES ;;;;;;;
GENTIL-MUIRON; GENTIL-MUIRON ; GENTIL MUIRON ;;;;;;
GEORGES LYON; GEORGES LYON ;;;;;;;
GILLESON; GILLESON ;;;;;;;
GUY DE DAMPIERRE; GUY DE DAMPIERRE ; GUY DAMPIERRE ; GUY SAMPIERRE ;;;;;
JACQUARD; JACQUARD ;;;;;;;
JACQUES FEBVRIER; JACQUES FEBVRIER ;;;;;;;
JACQUES LOUCHART; JACQUES LOUCHART ;;;;;;;
JEAN DAURAT; JEAN DAURAT ;;;;;;;
JEANNE D ARC; JEANNE D ARC ;;;;;;;
JOSEPH HENTGES; JOSEPH HENTGES ;;;;;;;
KARL MARX; KARL MARX ;;;;;;;
LEON BLUM; LEON BLUM ;;;;;;;
LEROUX DE FAUQUEMONT; LEROUX DE FAUQUEMONT ;;;;;;;
LOUISE DE BETTIGNIES; LOUISE DE BETTIGNIES ;;;;;;;
MADELEINE CAULIER; MADELEINE CAULIER ;;;;;;;
MAURICE SCHUMANN; MAURICE SCHUMANN ;;;;;;;
MICHELET; MICHELET ;;;;;;;
PAUL DOMBROWSKI; PAUL DOMBROWSKI ; DOMBROWSKI ;;;;;;
PHILIPPE DE GIRARD; PHILIPPE DE GIRARD ;;;;;;;
PHILIPPE LEBON; PHILIPPE LEBON ;;;;;;;
PIERRE BEREGOVOY; PIERRE BEREGOVOY ; BEREGOVOY ;;;;;;
PIERRE MENDES FRANCE; PIERRE MENDES FRANCE ;;;;;;;
RICHEBE; RICHEBE ;;;;;;;
RIHOUR; RIHOUR ;;;;;;;
ROGER SALENGRO; ROGER SALENGRO ;;;;;;;
ROSETTE DEMEY; ROSETTE DEMEY ; ROSETTE DE MEY ;;;;;;
SAINT ANDRE; SAINT ANDRE ;;;;;;;
SAINT HUBERT; SAINT HUBERT ;;;;;;;
SEBASTOPOL; SEBASTOPOL ;;;;;;;
SIMON VOLLANT; SIMON VOLLANT ;;;;;;;
VANHOENACKER; VANHOENACKER ;;;;;;;
DE FIVES; DE FIVES ;;;;;;;
DE FLANDRES; DE FLANDRES ;;;;;;;
DE L OEUST; DE L OEUST ;;;;;;;
DES CHEVILLARDS; DES CHEVILLARDS ; DES CHEVILLARS ;;;;;;
DU WAULT; DU WAULT ;;;;;;;
GERY LEGRAND; GERY LEGRAND ;;;;;;;
ANDRE GIDE; ANDRE GIDE ;;;;;;;
BRETEUIL; BRETEUIL ;;;;;;;
CITEAUX; CITEAUX ;;;;;;;
DAMPIERRE; DAMPIERRE ;;;;;;;
DES ANDELYS; DES ANDELYS ;;;;;;;
DES LAURIERS; DES LAURIERS ;;;;;;;
DU BEAU-BOUQUET; DU BEAU-BOUQUET ;;;;;;;
LA CLE DES CHAMPS; LA CLE DES CHAMPS ;;;;;;;
